"","pawsid","slackDomain","filename","timestamp","exercise","task","totalscore","chunk"
"306","bshatt2","isds1102s4workspace","bshatt2_e1c_1553219441991.xlsx","2019-03-22 01:51:06","e1","c","90.8333333333","e1c"
"307","bshatt2","isds1102s4workspace","bshatt2_e1a_1553271334567.xlsx","2019-03-22 16:16:02","e1","a","100.0","e1a"
"308","bshatt2","isds1102s4workspace","bshatt2_e1b_1553271339017.xlsx","2019-03-22 16:16:05","e1","b","100.0","e1b"
"309","bshatt2","isds1102s4workspace","bshatt2_e1c_1553271343315.xlsx","2019-03-22 16:16:08","e1","c","90.8333333333","e1c"
"310","bshatt2","isds1102s4workspace","bshatt2_e1d_1553271347614.xlsx","2019-03-22 16:16:12","e1","d","100.0","e1d"
"311","bshatt2","isds1102s4workspace","bshatt2_e2a_1553272341996.xlsx","2019-03-22 16:32:47","e2","a","100.0","e2a"
"312","jmccro7","isds1102s4workspace","jmccro7_e2c_1553530191188.xlsx","2019-03-25 16:10:17","e2","c","100.0","e2c"
"313","jmccro7","isds1102s4workspace","jmccro7_e2a_1553530424449.xlsx","2019-03-25 16:14:10","e2","a","100.0","e2a"
"314","jmccro7","isds1102s4workspace","jmccro7_e1d_1553530585929.xlsx","2019-03-25 16:16:51","e1","d","100.0","e1d"
"315","jmccro7","isds1102s4workspace","jmccro7_e1a_1553530673451.xlsx","2019-03-25 16:18:19","e1","a","87.5","e1a"
"316","jmccro7","isds1102s4workspace","jmccro7_e1b_1553530770089.xlsx","2019-03-25 16:19:55","e1","b","87.5","e1b"
"317","jmccro7","isds1102s4workspace","jmccro7_e1c_1553530817054.xlsx","2019-03-25 16:20:42","e1","c","94.1666666667","e1c"
"318","jmccro7","isds1102s4workspace","jmccro7_e2b_1553530913229.xlsx","2019-03-25 16:22:18","e2","b","100.0","e2b"
"319","jmccro7","isds1102s4workspace","jmccro7_e2d_1553531685071.xlsx","2019-03-25 16:35:11","e2","d","100.0","e2d"
